step,train_end,test_start,test_end,rmse,mae,mape,directional_accuracy
0,2025-09-08,2025-09-09,2025-09-15,0.0033462428360195528,0.0030901056277635062,100.0,0.0
1,2025-09-15,2025-09-16,2025-09-22,0.004711434492832757,0.0045557047591007205,100.0,0.0
2,2025-09-22,2025-09-23,2025-09-29,0.005613060354382584,0.004554615211844038,100.0,0.0
3,2025-09-29,2025-09-30,2025-10-06,0.005351891371089484,0.00394921795026093,100.0,0.2
4,2025-10-06,2025-10-07,2025-10-13,0.0034328651915291014,0.0031002619964411336,100.0,0.0
5,2025-10-13,2025-10-14,2025-10-20,0.006578994913331413,0.0061232780793410765,100.0,0.0
6,2025-10-20,2025-10-21,2025-10-27,0.0034415520788159235,0.0024386219657415607,100.0,0.2
7,2025-10-27,2025-10-28,2025-11-03,0.004621808267534747,0.004019497394343929,100.0,0.0
8,2025-11-03,2025-11-04,2025-11-10,0.003585262566114694,0.0027579704288022812,100.0,0.2
9,2025-11-10,2025-11-11,2025-11-17,0.004210191150193883,0.003404760225580361,100.0,0.0
10,2025-11-17,2025-11-18,2025-11-24,0.004784739406424502,0.004746733328522268,100.0,0.0
11,2025-11-24,2025-11-25,2025-12-01,0.005677999879017042,0.0034195730964647455,100.0,0.0
