start,train_end,test_start,test_end,rmse,mae,mape,dir_acc
2024-12-03,2025-08-11,2025-08-12,2025-08-14,0.003871024555625686,0.0032797196739296672,100.0,0.0
2024-12-03,2025-08-14,2025-08-15,2025-08-19,0.006212432238052819,0.004694505731374458,100.0,0.0
2024-12-03,2025-08-19,2025-08-20,2025-08-22,0.00525142255773102,0.004224216138394965,100.0,0.0
2024-12-03,2025-08-22,2025-08-25,2025-08-27,0.006359310606323144,0.00473757021922161,100.0,0.0
2024-12-03,2025-08-27,2025-08-28,2025-09-01,0.007026290720276549,0.006563139167554984,100.0,0.0
2024-12-03,2025-09-01,2025-09-02,2025-09-04,0.003377408561204337,0.0027071985611453186,100.0,0.0
2024-12-03,2025-09-04,2025-09-05,2025-09-09,0.0023486070722990673,0.0018049906386590209,100.0,0.0
2024-12-03,2025-09-09,2025-09-10,2025-09-12,0.003559525099704956,0.0032731705885561033,100.0,0.0
2024-12-03,2025-09-12,2025-09-15,2025-09-17,0.004538928638082991,0.0040482845190314976,100.0,0.0
2024-12-03,2025-09-17,2025-09-18,2025-09-22,0.004178134707234679,0.004139719986017809,100.0,0.0
2024-12-03,2025-09-22,2025-09-23,2025-09-25,0.004690909124866286,0.004145659424726371,100.0,0.0
2024-12-03,2025-09-25,2025-09-26,2025-09-30,0.005551356531998673,0.00376756851810948,100.0,0.0
2024-12-03,2025-09-30,2025-10-01,2025-10-03,0.005428358437139813,0.003813102766401381,100.0,0.0
2024-12-03,2025-10-03,2025-10-06,2025-10-08,0.004528149745439696,0.003680002651634003,100.0,0.0
2024-12-03,2025-10-08,2025-10-09,2025-10-13,0.004134752973618724,0.0039338252367056015,100.0,0.0
2024-12-03,2025-10-13,2025-10-14,2025-10-16,0.007440651338597543,0.0068629327053019535,100.0,0.0
2024-12-03,2025-10-16,2025-10-17,2025-10-21,0.004135004442718821,0.0036706215172615706,100.0,0.0
2024-12-03,2025-10-21,2025-10-22,2025-10-24,0.0022096140217221557,0.0015351322808800916,100.0,0.0
2024-12-03,2025-10-24,2025-10-27,2025-10-29,0.004670115440060578,0.004093859383514105,100.0,0.0
2024-12-03,2025-10-29,2025-10-30,2025-11-03,0.005322313184959878,0.004806449845419891,100.0,0.0
2024-12-03,2025-11-03,2025-11-04,2025-11-06,0.0042221276334158024,0.003298060945917669,100.0,0.0
2024-12-03,2025-11-06,2025-11-07,2025-11-11,0.003312822023614828,0.0028667442146759945,100.0,0.0
2024-12-03,2025-11-11,2025-11-12,2025-11-14,0.00410826457792512,0.0027788367825933116,100.0,0.0
2024-12-03,2025-11-14,2025-11-17,2025-11-19,0.004540500254189918,0.004484668623229382,100.0,0.0
2024-12-03,2025-11-19,2025-11-20,2025-11-24,0.004777807940263237,0.004754129405091827,100.0,0.0
2024-12-03,2025-11-24,2025-11-25,2025-11-27,0.007300425355266198,0.005192833054457206,100.0,0.0
2024-12-03,2025-11-27,2025-11-28,2025-12-01,0.0008092533679716583,0.0007596831594760545,100.0,0.0
